lat,lon,type,fee,name
44.106,-120.7777,slipway,no,Powder House Cove Boat Ramp
45.5162,-122.3575,slipway,no,
45.6402,-122.7633,slipway,no,Canoe Launch
45.5875,-122.7643,slipway,no,Cathedral Park
45.4799,-122.6706,marina,no,Johns Landing Boating Club
45.4845,-122.6717,marina,no,Landing Boat Club
45.4746,-122.6626,marina,no,Oregon Yacht Club
44.8028,-121.7816,slipway,no,
42.8446,-124.5374,slipway,no,
45.7356,-122.8382,slipway,no,
45.6184,-122.4325,slipway,no,
45.6124,-122.6337,slipway,no,
45.5445,-122.2491,slipway,no,Rooster Rock Boat Launch
45.8674,-122.7985,slipway,no,Public Access Boat Launch
45.9035,-122.8135,slipway,no,
45.9012,-122.7443,slipway,no,
45.6887,-123.902,slipway,no,
45.6895,-123.9331,slipway,no,Nehalem State Park
42.2889,-121.8752,slipway,no,
44.6399,-123.1066,slipway,no,Takena Landing
46.2682,-123.4614,slipway,no,
46.1646,-123.9209,slipway,no,Warrenton Boat Launch
44.643,-123.0862,slipway,no,
43.9277,-124.0979,slipway,no,East Woahink Boat Ramp
45.8277,-122.8377,slipway,no,
45.3705,-122.5963,slipway,no,
45.3723,-122.603,slipway,no,Clackamette Park Boat Ramp
45.2224,-123.0273,slipway,no,
45.2857,-122.969,slipway,no,
45.999,-122.8452,slipway,no,
46.0566,-122.8744,slipway,no,
43.3635,-124.2059,slipway,no,Eastside Boat Ramp
44.3748,-121.9984,slipway,no,
43.4634,-122.0163,slipway,no,
45.373,-122.6075,fishing,no,
45.3746,-122.611,fishing,no,
45.3772,-122.6172,fishing,no,
46.1077,-123.2064,slipway,no,Beaver Boat Ramp
44.6389,-123.1124,slipway,no,
44.0217,-117.4013,slipway,no,
45.9009,-119.492,slipway,no,
45.5405,-122.3796,slipway,no,
42.588,-121.9315,slipway,no,
43.55,-121.964,marina,no,
45.3818,-122.413,slipway,no,
44.6038,-123.9024,slipway,no,
44.5985,-123.9391,slipway,no,Port of Toledo Boat Launch
44.5928,-123.9414,marina,no,
43.3956,-123.2522,slipway,no,
46.0938,-122.943,slipway,no,
45.8142,-122.5916,slipway,no,
44.4214,-121.7313,slipway,no,
44.4199,-121.7393,slipway,no,
44.1167,-123.1088,slipway,no,
46.2387,-119.2293,slipway,no,Bateman Island
46.258,-119.4946,slipway,no,14th Street Yakima Rivers Access
45.9366,-122.6205,slipway,no,Cedar Creek Lewis River Boat Acc
45.618,-122.2558,slipway,no,County Line Washougal River Boat
45.9362,-122.6375,slipway,no,Happa Boat Launch
45.6155,-122.42,slipway,no,Lacamas Lake Boat Access Ramp
45.7043,-122.7598,slipway,no,Langsdorf Landing Boat Launch
43.6851,-116.7141,slipway,no,
43.6855,-116.7148,slipway,no,
43.8762,-116.9825,slipway,no,
44.6774,-118.0069,slipway,no,Mason Dam Boat Launch
44.685,-118.0242,slipway,no,
45.0259,-117.7899,slipway,no,
46.2792,-118.8341,slipway,no,
45.9177,-119.1741,slipway,no,
43.5582,-116.6479,slipway,no,Lake Lowell East Boat Ramp
45.743,-122.8287,slipway,no,
46.2781,-122.9117,slipway,no,Al Helenberg Memorial Boat Launc
45.2684,-121.7389,slipway,no,
45.2689,-121.7378,slipway,no,
46.137,-123.3784,ferry,no,Puget Island Ferry
46.1368,-123.3729,slipway,no,Westport Boat Ramp
46.1535,-123.3773,ferry,no,Puget Island Ferry
45.6124,-122.7143,slipway,no,Smith & Bybee Lake Canoe Launch
43.9787,-121.8074,slipway,no,
43.7126,-121.2761,slipway,no,
43.713,-121.2735,slipway,no,
45.1082,-121.7913,slipway,no,
45.1134,-121.7757,slipway,no,
45.4304,-123.9462,slipway,no,
45.6888,-123.9013,marina,no,Paradise Cove Marina
45.7072,-123.8875,slipway,no,Boat Launch
45.7307,-123.8804,slipway,no,
43.2989,-116.523,slipway,no,
43.6417,-117.2332,slipway,no,
46.1009,-123.9292,slipway,no,
46.2025,-123.9524,slipway,no,Hammond Marina Boat Launch
46.1707,-123.8366,slipway,no,
46.1948,-123.8024,slipway,no,East End Basin Boat Launch
46.1625,-123.7257,slipway,no,
46.2352,-123.519,slipway,no,Aldrich Point Boat Ramp
46.21,-116.8408,slipway,no,Waha Lake Boat Ramp
45.6489,-120.9637,slipway,no,
45.6173,-121.1365,slipway,no,
45.626,-121.1283,slipway,no,
44.7687,-123.1475,slipway,no,
43.5305,-124.2168,slipway,no,
43.5727,-124.1703,slipway,no,
45.4409,-123.6118,slipway,no,Trask River Park Day Use
42.4295,-123.3197,slipway,no,
42.4121,-123.1265,slipway,no,
45.6055,-122.7802,berth,no,Berth 401
45.6047,-122.7743,berth,no,Berth 405
45.6036,-122.7743,berth,no,Berth 408
45.6012,-122.774,berth,no,Berth 411
45.5975,-122.7744,berth,no,Berth 414
45.5964,-122.7736,berth,no,Berth 415
45.5939,-122.7716,berth,no,Berth 416
43.987,-121.3989,slipway,no,
43.9697,-121.415,slipway,no,
45.7087,-121.4573,slipway,no,
45.6623,-121.0352,slipway,no,Avery Recreation Area Boat Launc
45.7018,-120.7289,slipway,no,
45.7012,-120.7293,slipway,no,
45.7083,-120.3833,slipway,no,
45.7193,-120.3146,slipway,no,
45.7159,-121.517,slipway,no,Windsurf launch
45.5062,-120.3621,slipway,no,Boat Ramp
45.4716,-123.8909,slipway,no,
43.9147,-121.7651,slipway,no,
44.7368,-120.1655,slipway,no,Twickenham Boat Launch
44.014,-121.7384,slipway,no,
43.1683,-122.1659,slipway,no,
43.9571,-121.4166,slipway,no,
44.0651,-123.3059,slipway,no,
46.2954,-118.8081,slipway,no,
46.2567,-118.8468,slipway,no,
46.1113,-122.8951,slipway,no,
46.1374,-122.9522,slipway,no,Canoe Launch
45.6107,-122.7553,slipway,no,
45.7084,-122.8115,slipway,no,
45.7912,-122.7978,slipway,no,
46.2529,-118.8769,slipway,no,
46.1739,-123.0854,slipway,no,Willow Grove Boat Launch
45.047,-116.813,slipway,no,
43.7205,-121.1978,slipway,no,
46.2057,-123.3881,slipway,no,
46.2703,-123.946,slipway,no,Chinook Marina Boat Launch
43.1369,-122.1441,slipway,no,
43.147,-122.1356,slipway,no,
43.1624,-122.134,slipway,no,
42.6783,-122.6332,slipway,no,
42.6788,-122.6706,slipway,no,
46.0516,-122.0441,slipway,no,
42.526,-122.8424,slipway,no,
42.5767,-122.8401,slipway,no,
42.4398,-122.8959,slipway,no,
45.7313,-120.2248,slipway,no,
43.8838,-122.6886,slipway,no,
43.9403,-122.7474,slipway,no,
45.6338,-121.9653,slipway,no,
45.6718,-121.893,ferry,no,Sternwheeler Columbia Gorge
46.0901,-122.8989,slipway,no,
45.6873,-121.4041,slipway,no,Rock Creek Beach
42.9438,-121.067,slipway,no,
45.4901,-122.9511,slipway,no,
42.0476,-124.2676,seamark,no,
43.5923,-121.8533,slipway,no,
44.1244,-122.4683,slipway,no,
43.8872,-121.4557,slipway,no,
43.2723,-122.4098,slipway,no,
43.3099,-122.1947,slipway,no,
43.3142,-122.193,slipway,no,
43.3189,-122.1924,slipway,no,Boat Launch
43.8221,-121.4849,slipway,no,
43.6758,-121.8225,slipway,no,
43.7034,-121.753,slipway,no,
43.7023,-121.7639,slipway,no,
43.773,-121.5294,slipway,no,
43.6887,-121.6745,slipway,no,
42.0094,-121.116,slipway,no,
